artist,title,rank_this_week,rank_last_week,lyrics_source,lyrics_file
Migos Featuring Lil Uzi Vert,Bad And Boujee,1,1,songlyrics.com,migos-featuring-lil-uzi-vert-bad-and-boujee.txt
Ed Sheeran,Shape Of You,2,2,songlyrics.com,ed-sheeran-shape-of-you.txt
The Chainsmokers Featuring Halsey,Closer,3,4,songlyrics.com,the-chainsmokers-featuring-halsey-closer.txt
Machine Gun Kelly x Camila Cabello,Bad Things,4,6,songlyrics.com,machine-gun-kelly-x-camila-cabello-bad-things.txt
Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),5,8,songlyrics.com,zayn-taylor-swift-i-dont-wanna-live-forever-fifty-shades-darker.txt
Rae Sremmurd Featuring Gucci Mane,Black Beatles,6,3,songlyrics.com,rae-sremmurd-featuring-gucci-mane-black-beatles.txt
Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know,7,9,songlyrics.com,maroon-5-featuring-kendrick-lamar-dont-wanna-know.txt
The Weeknd Featuring Daft Punk,Starboy,8,5,songlyrics.com,the-weeknd-featuring-daft-punk-starboy.txt
Drake,Fake Love,9,11,songlyrics.com,drake-fake-love.txt
Alessia Cara,Scars To Your Beautiful,10,13,songlyrics.com,alessia-cara-scars-to-your-beautiful.txt
Bruno Mars,24K Magic,11,10,songlyrics.com,bruno-mars-24k-magic.txt
Ariana Grande Featuring Nicki Minaj,Side To Side,12,12,songlyrics.com,ariana-grande-featuring-nicki-minaj-side-to-side.txt
The Chainsmokers,Paris,13,7,songlyrics.com,the-chainsmokers-paris.txt
Rihanna,Love On The Brain,14,17,songlyrics.com,rihanna-love-on-the-brain.txt
Big Sean,Bounce Back,15,15,songlyrics.com,big-sean-bounce-back.txt
DJ Snake Featuring Justin Bieber,Let Me Love You,16,16,songlyrics.com,dj-snake-featuring-justin-bieber-let-me-love-you.txt
Amine,Caroline,17,14,songlyrics.com,amine-caroline.txt
The Weeknd Featuring Daft Punk,I Feel It Coming,18,19,songlyrics.com,the-weeknd-featuring-daft-punk-i-feel-it-coming.txt
Jon Bellion,All Time Low,19,22,songlyrics.com,jon-bellion-all-time-low.txt
Hailee Steinfeld & Grey Featuring Zedd,Starving,20,23,songlyrics.com,hailee-steinfeld-grey-featuring-zedd-starving.txt
Shawn Mendes,Mercy,21,25,songlyrics.com,shawn-mendes-mercy.txt
twenty one pilots,Heathens,22,20,songlyrics.com,twenty-one-pilots-heathens.txt
Justin Timberlake,Can't Stop The Feeling!,23,24,songlyrics.com,justin-timberlake-cant-stop-the-feeling.txt
Niall Horan,This Town,24,29,songlyrics.com,niall-horan-this-town.txt
D.R.A.M. Featuring Lil Yachty,Broccoli,25,21,songlyrics.com,dram-featuring-lil-yachty-broccoli.txt
Adele,Water Under The Bridge,26,34,songlyrics.com,adele-water-under-the-bridge.txt
Sia Featuring Sean Paul,Cheap Thrills,27,27,songlyrics.com,sia-featuring-sean-paul-cheap-thrills.txt
Shawn Mendes,Treat You Better,28,26,songlyrics.com,shawn-mendes-treat-you-better.txt
KYLE Featuring Lil Yachty,iSpy,29,32,songlyrics.com,kyle-featuring-lil-yachty-ispy.txt
Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem),30,18,songlyrics.com,zay-hilfigerrr-zayion-mccall-juju-on-that-beat-tz-anthem.txt
James Arthur,Say You Won't Let Go,31,30,songlyrics.com,james-arthur-say-you-wont-let-go.txt
